#node	date	numeric date
NODE_0000248	1533-06-22	1533.473889
A1/FJ692569/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000253	1716-10-05	1716.762279
A1/FJ692560/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000264	1820-03-04	1820.172505
A1/FJ692571/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000267	1824-01-22	1824.060871
A1/FJ692557/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000134	2004-01-04	2004.013190
NODE_0000272	2005-03-08	2005.185227
NODE_0000273	2006-01-01	2006.000000
A1/FJ692582/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692579/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000284	2006-01-01	2006.000000
A1/FJ692585/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692584/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000286	2005-03-08	2005.185227
NODE_0000287	2006-01-01	2006.000000
A1/FJ692581/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692580/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000288	2006-01-01	2006.000000
A1/FJ692583/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692578/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000216	-285-02-26	-284.843042
NODE_0000217	0764-10-01	764.752318
A2/FJ904411/Tunisia/2006/Tunisia	2006-01-01	2006.000000
A2/FJ904434/Tunisia/2006/Tunisia	2006-01-01	2006.000000
NODE_0000218	0125-07-10	125.524127
A2/GQ477464/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000219	0741-05-03	741.337624
A/KF779234/USA/2003/USA	2003-01-01	2003.000000
NODE_0000220	0926-07-16	926.540384
NODE_0000221	1495-09-28	1495.742135
A/KF779277/USA/2004/USA	2004-01-01	2004.000000
NODE_0000222	1536-08-03	1536.590419
NODE_0000223	1735-07-18	1735.546177
A/KF779276/USA/2004/USA	2004-01-01	2004.000000
A/KF779375/USA/2006/USA	2006-01-01	2006.000000
NODE_0000224	1780-09-03	1780.674911
A2/KF779320/USA/2000/USA	2000-01-01	2000.000000
A2/KF779321/USA/2000/USA	2000-01-01	2000.000000
NODE_0000225	0943-06-12	943.447182
A2/EU859939/Belgium/1999/Belgium	1999-01-01	1999.000000
NODE_0000226	0956-11-25	956.902845
NODE_0000300	1671-12-25	1671.985576
NODE_0000228	1952-01-28	1952.077562
A/KF779368/USA/2004/USA	2004-01-01	2004.000000
A/KF779369/USA/2005/USA	2005-01-01	2005.000000
NODE_0000229	1732-04-09	1732.272051
A/KF779361/USA/2004/USA	2004-01-01	2004.000000
NODE_0000304	1782-11-07	1782.851662
NODE_0000307	1787-01-26	1787.073673
A/KF779364/USA/2004/USA	2004-01-01	2004.000000
A/KF779362/USA/2004/USA	2004-01-01	2004.000000
NODE_0000232	1819-07-13	1819.532254
A/KF779363/USA/2004/USA	2004-01-01	2004.000000
A/KF779365/USA/2004/USA	2004-01-01	2004.000000
NODE_0000234	1914-09-28	1914.742813
A/KF779275/USA/2003/USA	2003-01-01	2003.000000
NODE_0000235	1934-11-29	1934.912482
A/KF779348/USA/2003/USA	2003-01-01	2003.000000
A/KF779344/USA/2003/USA	2003-01-01	2003.000000
A/KF779345/USA/2003/USA	2003-01-01	2003.000000
NODE_0000237	0976-10-20	976.802801
NODE_0000404	1067-12-27	1067.989144
A/EU414134/Belarus/2005/Belarus	2005-01-01	2005.000000
NODE_0000405	1939-12-09	1939.939541
A/68z/Belgium/1998/Belgium	1998-01-01	1998.000000
A/FJ349223/Belgium/1998/Belgium	1998-01-01	1998.000000
NODE_0000238	0985-01-07	985.021324
NODE_0000383	1003-08-20	1003.635279
NODE_0000384	1825-10-12	1825.781983
A/G10225a/Belgium/1982/Belgium	1982-01-01	1982.000000
A/G1998a/Belgium/1981/Belgium	1981-01-01	1981.000000
NODE_0000385	1029-01-14	1029.040528
A/GU563551/Belgium/2003/Belgium	2003-01-01	2003.000000
NODE_0000386	1041-09-22	1041.727422
NODE_0000387	1101-03-24	1101.229265
A2/GQ477474/Poland/2006/Poland	2006-01-01	2006.000000
A2/GQ477500/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000388	1116-05-20	1116.384097
A2/GQ477477/Poland/2006/Poland	2006-01-01	2006.000000
A2/GQ477493/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000389	1039-01-23	1039.064050
NODE_0000390	1141-11-29	1141.913127
A2/GQ477488/Poland/2006/Poland	2006-01-01	2006.000000
NODE_0000391	1238-12-24	1238.982719
A2/GQ477491/Poland/2006/Poland	2006-01-01	2006.000000
