# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 26 14:41:23 CEST 2023 [seed=1695732074588]
# -beagle_double HBV-E_updated_geo_priors_completeHistory_posterior_run3.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	Current Tree	c_allTransitions[1]
21810000	-46.9314787777879	-6.61691435393535	-40.31456442385255	0.26741532022590464	0.6315354952010558	0.10104918457304635	0.040666463291104675	0.05354298960394946	0.03058015098046211	0.07367683701734118	1.8353660458626568	3.6892782357332674	0.5033475013309037	0.04470614766670446	1.0	1.0	1.0	1.0	1.0	1.0	6.0	281.0	30.0
21820000	-38.61084715696762	3.727494314860854	-42.33834147182848	0.08374303864856758	0.5176203312340132	0.3986366301174261	0.0010285089854554011	9.234126217481845E-4	0.16467000933646525	1.1118804601925223	0.08098791005614253	0.9242438182959817	0.1620666949106041	0.036424597554105514	1.0	1.0	1.0	0.0	1.0	1.0	5.0	869.0	8.0
21830000	-41.15265237232264	0.11905870804271945	-41.271711080365364	0.6325375949790305	0.20440577355230966	0.16305663146866664	0.0018087414487961751	0.003133440087808867	0.11326831616157212	0.24088476356256788	1.6320975814467347	0.43182006845896936	0.5860330432484737	1.4028633739824306	1.0	1.0	1.0	1.0	1.0	0.0	5.0	734.0	8.0
21840000	-39.661161442043074	0.019709210401048338	-39.68087065244412	0.412312247415337	0.15422774895101352	0.4334600036336562	0.0017341199146417748	0.0013582699098196565	0.24767120485867697	2.6125218628771636	0.49835510525402416	1.3616725705822372	0.13301339902261536	1.1762674364354224	1.0	1.0	0.0	1.0	0.0	1.0	4.0	209.0	8.0
21850000	-45.608550599247025	-5.348359031539623	-40.2601915677074	0.38269204695944103	0.17031855833198087	0.4469893947085847	0.012501759707944681	0.029613168949413914	0.19593484636648326	0.46606958558705014	0.06337444865610464	1.0013668421962885	4.495411277482336	0.11069106516853285	0.0	1.0	1.0	1.0	1.0	1.0	5.0	568.0	45.0
21860000	-47.00451204314466	-8.369950042172187	-38.63456200097247	0.37781322069159673	0.41383020917997726	0.20835657012843245	0.04287367439478093	0.0014353392266330497	0.520305931065601	3.866751601599608	1.4749874807730483	2.3779694358967083	0.20048717552910894	1.3854103504687603	1.0	1.0	0.0	1.0	1.0	1.0	5.0	524.0	8.0
21870000	-41.422924837506464	-0.7064949570580272	-40.71642988044844	0.6787375349802505	0.09705619071383145	0.22420627430592463	0.006387722399556484	0.009891920600648169	0.36345237504127037	0.4354720261477909	0.15639700521616048	1.1845228544096431	1.066055711592664	1.1140228886619055	0.0	1.0	0.0	1.0	0.0	1.0	3.0	712.0	10.0
21880000	-54.65389905524452	-9.637964293427604	-45.01593476181692	0.4201531301671563	0.4093601229204735	0.17048674691237692	0.026778038101226306	0.0012450583232982895	2.800036506382401	1.5010450336949612	2.1986026002482673	0.988510518546912	1.8889993214430643	1.7246295807742733	1.0	1.0	1.0	1.0	1.0	1.0	6.0	250.0	8.0
21890000	-41.85950235766356	-1.1324358955480545	-40.7270664621155	0.35684002955925653	0.19576907510709146	0.4473908953336585	0.010831306453477995	0.017092704069740755	0.2934555563192504	0.0635910089654561	0.696232000094855	1.4726507599593743	0.2485861221084986	0.8598501526331536	0.0	1.0	0.0	1.0	1.0	1.0	4.0	287.0	10.0
21900000	-45.77399058626636	-7.2715926946175795	-38.502397891648776	0.6860166759491809	0.2922353007996586	0.021748023251167148	0.015838928878535816	0.00526497692189229	0.3157653347542528	0.49158319876534184	1.0300504028252757	2.3315693739060235	2.168013730845076	4.3973494424388795	0.0	1.0	0.0	1.0	0.0	1.0	3.0	204.0	9.0
21910000	-45.61523071870162	-8.603207661307176	-37.012023057394444	0.7179001158330458	0.049504008126911164	0.23259587604004991	1.6246945162150903	0.0057490430874005405	0.037917303824306636	0.31191834971240673	1.776153812865611	0.5367371652105862	0.06760376088672457	1.6264685518198	1.0	1.0	1.0	0.0	1.0	0.0	4.0	7.0	8.0
21920000	-46.37716853704843	-5.135658794696155	-41.24150974235228	0.5155624152444437	0.01065473655982059	0.4737828481957427	0.1751571000153431	0.0424834472391903	0.024021053235527064	0.12398466721485484	0.856268890209449	0.3211376631377057	1.6192086686384644	1.2606536400200843	1.0	1.0	1.0	1.0	1.0	0.0	5.0	888.0	52.0
21930000	-43.304753829410686	-3.4765810344506045	-39.82817279496008	0.5155194773157505	0.17094588668072902	0.31353463600352727	0.41271299064942235	0.018198570076032258	0.39724276482151105	0.03936326570419861	0.8484574007489758	0.01042061531156876	0.44335724783066066	0.11224935648999561	0.0	1.0	1.0	1.0	0.0	1.0	4.0	843.0	9.0
21940000	-44.412606392358306	-6.632704040200876	-37.77990235215743	0.6633109335256524	0.3004237385739526	0.0362653279004016	0.1723482375373604	0.0015199709132919027	0.5583365351941032	1.862000324301487	2.3227639991842484	0.41328136608132227	0.5641691758469453	0.24114782184887984	1.0	1.0	1.0	0.0	1.0	1.0	5.0	995.0	11.0
21950000	-41.682225552207946	-2.5004029707174396	-39.18182258149051	0.1607272474777744	0.527991253888478	0.31128149863375454	0.036953335722227684	0.003498213424734303	0.2562677158704614	0.7897009452881714	1.9869678795428245	0.2399478342838892	0.570578717454281	0.2775777154540379	1.0	1.0	1.0	1.0	0.0	1.0	5.0	440.0	8.0
21960000	-39.629256490515445	-0.6039166483459697	-39.02533984216947	0.3771281009445202	0.3426452812985623	0.28022661775692465	0.00723928194851433	0.003252867022091701	0.050384208951637394	0.30694829280887015	1.201852421162936	0.5903809867135736	0.5651044824716591	1.6152720769276352	1.0	1.0	1.0	1.0	1.0	0.0	5.0	333.0	8.0
21970000	-50.57446175793574	-8.425061396512005	-42.14940036142373	0.7337676965580254	0.08750521539384622	0.17872708804813542	0.08211043575827916	0.012982834205370285	0.34142813207309286	0.34609151986439346	2.827668562187492	0.9686302909992126	1.078025080366281	3.711040323060193	0.0	1.0	1.0	0.0	1.0	1.0	4.0	149.0	12.0
21980000	-44.04505794915162	-4.758095802515948	-39.28696214663567	0.13722937106714977	0.20481489296203537	0.657955735970822	0.04515634403176136	0.010253122242415518	0.029524133134662726	0.5350701884835815	2.7197630377964415	0.13489867872343994	2.49146001979212	0.5416368223665483	0.0	1.0	1.0	0.0	1.0	1.0	4.0	440.0	13.0
